scenario_index,model_key,alpha,p_event,unlabeled_topology_hash,classification,provenance_hash_count,excess_provenance_hashes,trajectory_count,contains_event_copy_id,reference_token_chromosome_sets,provenance_hashes
3,linear_distance,0.5,0.07,cad75c0d14016455fd9f830286ee411740752cb80a5deb4454fa93f1874e4d19,event_copy_identity_alias,2,1,2340,True,"SynIII,SynIXR,SynVI;SynII,SynIII,SynIXR,SynVI",bc99211e44683fcf22d375b12f652bc6;9f105201bb351187061d2cd753582393
7,linear_distance,0.5,0.15,cad75c0d14016455fd9f830286ee411740752cb80a5deb4454fa93f1874e4d19,event_copy_identity_alias,2,1,401,True,"SynII,SynIII,SynIXR,SynVI;SynIII,SynIXR,SynVI",bc99211e44683fcf22d375b12f652bc6;ff1e45aa5f1f82e8c6f30a31a9519f04
13,linear_distance,1.0,0.05,e4415a7b485fb3589810605f2a521ea8837ee84e3fa25db4fc3af4691108038e,event_copy_identity_alias,2,1,2,True,"SynII,SynIXR,SynVI;SynII,SynIXR,SynVI",d5053fe173bfae132ec5bdbe2ee245d4;0ee9158cb8dd0876c369455b70d95d38
21,linear_distance,1.0,0.25,cb9db453b80695b9e1f79e8210ab3f6addc87dd7af57a2067911aec762aec728,event_copy_identity_alias,2,1,2,True,"SynII,SynIII,SynIXR;SynII,SynIII,SynIXR",e2c555eff9726625953d3b4e8e277a70;be9009a33bab8c0d93c0b7446b9d34f2
26,linear_distance,1.5,0.09,cad75c0d14016455fd9f830286ee411740752cb80a5deb4454fa93f1874e4d19,reference_token_vs_expanded_payload_alias,2,1,1522,False,"SynII,SynIII,SynIXR;SynII,SynIII,SynIXR,SynVI",bc99211e44683fcf22d375b12f652bc6;466a08c2653432634c0a137d4203ca2a
35,linear_distance,2.0,0.05,cad75c0d14016455fd9f830286ee411740752cb80a5deb4454fa93f1874e4d19,reference_token_vs_expanded_payload_alias,2,1,3589,False,"SynIII,SynIXR,SynVI;SynII,SynIII,SynIXR,SynVI",bc99211e44683fcf22d375b12f652bc6;b755e647ef830dfb8277d9b4ffe8b419
38,linear_distance,2.0,0.1,1921c1f9964446a27e5c7e1ad3a9c36b1d1a088d192ab1e1fd3d0287ace5e61d,event_copy_identity_alias,2,1,2,True,"SynIII,SynIXR,SynVI;SynIII,SynIXR,SynVI",17b3658ebeb401e35defd2e07a70c097;047224532daa720a5e2b49f6de9d4525
38,linear_distance,2.0,0.1,cad75c0d14016455fd9f830286ee411740752cb80a5deb4454fa93f1874e4d19,reference_token_vs_expanded_payload_alias,3,2,1239,False,"SynII,SynIII,SynIXR;SynIII,SynIXR,SynVI;SynII,SynIII,SynIXR,SynVI",bc99211e44683fcf22d375b12f652bc6;b755e647ef830dfb8277d9b4ffe8b419;466a08c2653432634c0a137d4203ca2a
50,partial_hic_fallback,0.5,0.12,cad75c0d14016455fd9f830286ee411740752cb80a5deb4454fa93f1874e4d19,event_copy_identity_alias,2,1,759,True,"SynII,SynIII,SynIXR,SynVI;SynIII,SynIXR,SynVI",bc99211e44683fcf22d375b12f652bc6;e1dd3e177d7af411bab132893669fa5f
60,partial_hic_fallback,1.0,0.1,cad75c0d14016455fd9f830286ee411740752cb80a5deb4454fa93f1874e4d19,event_copy_identity_alias,2,1,1245,True,"SynIII,SynIXR,SynVI;SynII,SynIII,SynIXR,SynVI",bc99211e44683fcf22d375b12f652bc6;73db10b5ed0662a616d05ea86280dcdf
71,partial_hic_fallback,1.5,0.1,9552194277add4a1f1792ce25693d3b0950eaa3da0ef05961aee22efe548d86b,event_copy_identity_alias,2,1,2,True,"SynIII,SynIXR,SynVI;SynIII,SynIXR,SynVI",6e6efb488e1c83fcb735bb42730e8302;5a036ddbe03802783f2569d142763113
